Kab_Kota,Kode_Kab,provinsi,X,Y,tahun,ndvi
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2018,0.787178067
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2018,0.76684262
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2018,0.740348674
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2018,0.773586266
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2018,0.716481212
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2018,0.689538612
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2018,0.397794122
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2018,0.710360365
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2018,0.590111453
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2018,0.764184071
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2018,0.532045067
SIMEULUE,1109,ACEH,96.085675,2.6133016,2019,0.68829304
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2019,0.736698339
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2019,0.784545511
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2019,0.755223625
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2019,0.71738559
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2019,0.735126865
ACEH BARAT,1105,ACEH,96.185458,4.456644,2019,0.797162615
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2019,0.709675985
PIDIE,1107,ACEH,96.0072061,5.0681582,2019,0.722133916
BIREUEN,1111,ACEH,96.6092168,5.0934648,2019,0.712547376
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2019,0.695831494
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2019,0.695538723
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2019,0.813101346
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2019,0.775774112
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2019,0.742966334
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2019,0.770608929
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2019,0.738101016
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2019,0.68614455
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2019,0.417937061
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2019,0.677808059
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2019,0.604661737
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2019,0.802032422
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2019,0.549710517
SIMEULUE,1109,ACEH,96.085675,2.6133016,2020,0.693796995
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2020,0.751528205
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2020,0.800496909
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2020,0.743311367
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2020,0.698139741
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2020,0.718570057
ACEH BARAT,1105,ACEH,96.185458,4.456644,2020,0.787160057
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2020,0.70849046
PIDIE,1107,ACEH,96.0072061,5.0681582,2020,0.7325454
BIREUEN,1111,ACEH,96.6092168,5.0934648,2020,0.703335915
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2020,0.677886821
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2020,0.686670425
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2020,0.807708738
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2020,0.769545995
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2020,0.739501289
NAGAN RAYA,1115,ACEH,96.5067839,4.1554061,2020,0.766021083
BENER MERIAH,1117,ACEH,97.0072962,4.7672346,2020,0.703330936
PIDIE JAYA,1118,ACEH,96.216754,5.1245421,2020,0.682521268
KOTA BANDA ACEH,1171,ACEH,95.3268155,5.5592964,2020,0.410370876
KOTA SABANG,1172,ACEH,95.305436,5.8384182,2020,0.655474336
KOTA LHOKSEUMAWE,1173,ACEH,97.1103124,5.1644939,2020,0.580364315
KOTA SUBULUSSALAM,1175,ACEH,97.9374019,2.7358527,2020,0.805680191
KOTA LANGSA,1174,ACEH,97.9822621,4.4831192,2020,0.540407448
SIMEULUE,1109,ACEH,96.085675,2.6133016,2021,0.721657115
ACEH SINGKIL,1110,ACEH,97.8442473,2.3490712,2021,0.763800147
ACEH SELATAN,1101,ACEH,97.4353476,3.1628709,2021,0.815241249
ACEH TENGGARA,1102,ACEH,97.6955398,3.3695979,2021,0.753369367
ACEH TIMUR,1103,ACEH,97.6288919,4.6291332,2021,0.67925426
ACEH TENGAH,1104,ACEH,96.8589945,4.5300689,2021,0.727967339
ACEH BARAT,1105,ACEH,96.185458,4.456644,2021,0.794078608
ACEH BESAR,1106,ACEH,95.5149894,5.3805441,2021,0.717452848
PIDIE,1107,ACEH,96.0072061,5.0681582,2021,0.736079083
BIREUEN,1111,ACEH,96.6092168,5.0934648,2021,0.73201475
ACEH UTARA,1108,ACEH,97.181888,5.0149122,2021,0.68625068
ACEH TAMIANG,1116,ACEH,97.9770203,4.2278754,2021,0.668857968
ACEH JAYA,1114,ACEH,95.6787094,4.8321827,2021,0.811147908
ACEH BARAT DAYA,1112,ACEH,96.8783204,3.8248992,2021,0.797574469
GAYO LUES,1113,ACEH,97.3575332,3.9819276,2021,0.741987488
