shapeID,shapeGroup,shapeType,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,nmkab,kodekab,provinsi,2021,2022,2023,2024
22746128B65593111718524,IDN,ADM2,53.3568149130586,53.6559142976041,51.0018331656823,50.6976321463588,49.1165513297585,48.4962305990113,47.8597739210557,46.8563433910154,46.4329126898342,45.8896838151881,ACEH BARAT,1105,ACEH,44.4154845130162,43.5207782377724,42.6260719625287,41.731365687285
22746128B227561513795,IDN,ADM2,57.1586211146535,56.3521519729683,56.2032792680972,55.6744529574841,55.0172426537351,54.7654351317131,54.1042278575468,53.897325457109,53.2821223604787,52.9525010205604,ACEH BARAT DAYA,1112,ACEH,52.4128179790666,51.9531965244542,51.4935750698418,51.0339536152295
22746128B90547447297479,IDN,ADM2,157.162548967595,156.726627918869,159.928039009601,163.2369388294,165.452501065083,167.832513767801,169.198675929503,171.450594948967,172.201497954964,173.780960383182,ACEH BESAR,1106,ACEH,176.889349767257,178.924306110849,180.959262454442,182.994218798035
22746128B21424895456858,IDN,ADM2,19.6763174911633,19.6340522732817,19.4496828802921,19.2223589823538,19.0122807635458,18.782263505451,18.4955442766056,18.2235113105224,17.9428989381771,17.6720605973807,ACEH JAYA,1114,ACEH,17.5305069480786,17.2976723746606,17.0648378012427,16.8320032278247
22746128B12428400263117,IDN,ADM2,53.4453472136293,53.6557148029071,53.4981859704458,53.3833837134559,53.3780339534139,53.0096181339763,52.8412504544696,52.4490729102385,52.1254641572868,51.6691234259017,ACEH SELATAN,1101,ACEH,51.8142478233617,51.6085620687779,51.4028763141942,51.1971905596104
22746128B17710719872214,IDN,ADM2,60.1738075514634,62.1567028230731,64.593971396162,66.6955807730556,68.6210707324571,70.7450025962747,72.7265241042427,74.5213385900294,76.7453959947047,78.9229320171087,ACEH SINGKIL,1110,ACEH,80.9474516651553,83.0124005755731,85.077349485991,87.1422983964088
22746128B57620394058931,IDN,ADM2,112.640456992986,112.230636429152,111.202234502253,109.41519677833,108.397637025001,107.322094164656,105.978591908345,104.429280598138,103.018542696342,101.739753684339,ACEH TAMIANG,1116,ACEH,100.709405381342,99.4497622728666,98.1901191643915,96.9304760559165
22746128B89023327523654,IDN,ADM2,41.6323924758499,42.2466292138162,42.5637448128335,42.6817414764075,43.0536091669915,43.3043958298557,43.4612375686915,43.6389059253386,43.8135178505895,43.9781794390745,ACEH TENGAH,1104,ACEH,44.3722814969007,44.6149807916199,44.8576800863392,45.1003793810584
22746128B65780821536148,IDN,ADM2,43.3316294422216,44.098895371316,44.7962393574225,45.6308425599397,46.4638432033466,47.2191181205432,47.9769049044081,48.6142576820788,49.3213596704149,49.9840010217885,ACEH TENGGARA,1102,ACEH,50.8541140628039,51.6014604136141,52.3488067644243,53.0961531152344
22746128B94735591859977,IDN,ADM2,67.5218499734697,66.9926338350861,66.4436200664926,65.4908687889417,64.7652610537961,64.1858398518654,63.1842058048673,62.7814440719014,61.8666580868559,60.7954990419918,ACEH TIMUR,1103,ACEH,60.3284787659261,59.5876952583623,58.8469117507985,58.1061282432348
22746128B43339434023645,IDN,ADM2,211.872579479472,213.556082282266,212.709843143432,211.693424203867,211.765331202953,212.198905068649,211.40163371054,210.654633570002,209.883742647702,209.402641537279,ACEH UTARA,1108,ACEH,209.558759537845,209.203282783887,208.847806029929,208.49232927597
22746128B89220130199878,IDN,ADM2,230.497313255105,231.592273480091,233.276880334989,232.635155020592,237.204432359952,236.668202899767,237.561788580224,240.392036571969,238.736529784731,237.967585746614,AGAM,1306,SUMATERA BARAT,241.221943102059,242.234438247269,243.24693339248,244.25942853769
22746128B1117135414899,IDN,ADM2,65.3102834496648,65.9629545908528,66.6896868311116,67.5147955429337,68.1255927497584,68.6907116223235,69.1817109603397,69.7346631522954,70.1359748083011,70.5274095452661,ALOR,5305,NUSA TENGGARA TIMUR,71.4192457623931,72.0068580236856,72.594470284978,73.1820825462704
22746128B26461090721788,IDN,ADM2,185.901380902276,185.236680458124,186.91171802824,186.23105130243,189.119551740042,189.260354470216,189.546187770399,190.914485586368,190.884882453119,191.08487967747,ASAHAN,1209,SUMATERA UTARA,192.385415667749,193.090197200273,193.794978732797,194.499760265321
22746128B62198228854475,IDN,ADM2,2.1359892860027,2.32549374977108,2.49404590238499,2.6122454315328,2.88910587922616,3.14033224121757,3.29037103798944,3.59447750759789,3.85380443993905,4.0383262059358,ASMAT,9118,PAPUA,4.22431811209306,4.44011792008094,4.65591772806881,4.87171753605669
22746128B76986430159502,IDN,ADM2,1486.01115281415,1548.21327999949,1613.63566516463,1681.23259817719,1750.88938769363,1818.99372267672,1890.32188603427,1962.8193889545,2033.90607267732,2109.90287536167,BADUNG,5103,BALI,2171.46479859457,2240.89610689261,2310.32741519064,2379.75872348868
22746128B67876608948387,IDN,ADM2,53.7458097504753,54.0658316671365,55.8057138292074,56.4332563583651,57.7727418311337,58.5139931947718,59.3099376280314,60.5720847116278,61.0737351237169,61.565917808371,BALANGAN,6311,KALIMANTAN SELATAN,62.9738837336792,63.8989712870238,64.8240588403684,65.7491463937131
22746128B73297609500416,IDN,ADM2,1491.37274713289,1519.25161982765,1559.74785000176,1590.30468002175,1635.57758173388,1675.80306590409,1711.57404960239,1758.51298463605,1789.20428297945,1830.02569188223,BANDUNG,3204,JAWA BARAT,1867.31760240189,1905.71399277092,1944.11038313996,1982.50677350899
